epoch, errorRate
820,0.115740,
821,0.115597,
822,0.115454,
823,0.115311,
824,0.115169,
825,0.115027,
826,0.114885,
827,0.114744,
828,0.114604,
829,0.114464,
830,0.114324,
831,0.114184,
832,0.114046,
833,0.113907,
834,0.113769,
835,0.113631,
836,0.113494,
837,0.113357,
838,0.113220,
839,0.113084,
840,0.112948,
841,0.112813,
842,0.112677,
843,0.112543,
844,0.112409,
845,0.112275,
846,0.112141,
847,0.112008,
848,0.111875,
849,0.111743,
850,0.111611,
851,0.111479,
852,0.111348,
853,0.111217,
854,0.111086,
855,0.110956,
856,0.110826,
857,0.110697,
858,0.110568,
859,0.110439,
860,0.110311,
861,0.110183,
862,0.110055,
863,0.109927,
864,0.109801,
865,0.109674,
866,0.109548,
867,0.109422,
868,0.109296,
869,0.109171,
870,0.109046,
871,0.108921,
872,0.108797,
873,0.108673,
874,0.108550,
875,0.108426,
876,0.108304,
877,0.108181,
878,0.108059,
879,0.107937,
880,0.107815,
881,0.107694,
882,0.107573,
883,0.107453,
884,0.107332,
885,0.107212,
886,0.107093,
887,0.106974,
888,0.106855,
889,0.106736,
890,0.106618,
891,0.106500,
892,0.106382,
893,0.106264,
894,0.106147,
895,0.106031,
896,0.105914,
897,0.105798,
898,0.105682,
899,0.105566,
900,0.105451,
901,0.105336,
902,0.105222,
903,0.105107,
904,0.104993,
905,0.104879,
906,0.104766,
907,0.104653,
908,0.104540,
909,0.104427,
910,0.104315,
911,0.104203,
912,0.104091,
913,0.103980,
914,0.103869,
915,0.103758,
916,0.103647,
917,0.103537,
918,0.103427,
919,0.103317,
920,0.103208,
921,0.103099,
922,0.102990,
923,0.102881,
924,0.102773,
925,0.102665,
926,0.102557,
927,0.102450,
928,0.102343,
929,0.102236,
930,0.102129,
931,0.102022,
932,0.101916,
933,0.101810,
934,0.101705,
935,0.101599,
936,0.101494,
937,0.101390,
938,0.101285,
939,0.101181,
940,0.101077,
941,0.100973,
942,0.100869,
943,0.100766,
944,0.100663,
945,0.100560,
946,0.100458,
947,0.100356,
948,0.100254,
949,0.100152,
950,0.100050,
951,0.099949,
952,0.099848,
953,0.099747,
954,0.099647,
955,0.099547,
956,0.099447,
957,0.099347,
958,0.099247,
959,0.099148,
960,0.099049,
961,0.098950,
962,0.098852,
963,0.098753,
964,0.098655,
965,0.098557,
966,0.098460,
967,0.098362,
968,0.098265,
969,0.098168,
970,0.098071,
971,0.097975,
972,0.097879,
973,0.097783,
974,0.097687,
975,0.097592,
976,0.097496,
977,0.097401,
978,0.097306,
979,0.097212,
980,0.097117,
981,0.097023,
982,0.096929,
983,0.096835,
984,0.096742,
985,0.096649,
986,0.096555,
987,0.096463,
988,0.096370,
989,0.096278,
990,0.096185,
991,0.096093,
992,0.096002,
993,0.095910,
994,0.095819,
995,0.095728,
996,0.095637,
997,0.095546,
